
 Jogador: -2, Tempo Gasto: 9 ms, Nós analisados: 2, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 13 ms, Nós analisados: 3, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 8 ms, Nós analisados: 2, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 14 ms, Nós analisados: 2, Profundidade: 4, Valor: -1152921504606846976, Cortes Alfa: 1, Cortes Beta: 0

 Jogador: -1, Tempo Gasto: 153 ms, Nós analisados: 70, Profundidade: 3, Valor: 70.0, Cortes Alfa: 2, Cortes Beta: 6

 Jogador: -2, Tempo Gasto: 209 ms, Nós analisados: 85, Profundidade: 3, Valor: -16.5, Cortes Alfa: 2, Cortes Beta: 3

 Jogador: -1, Tempo Gasto: 407 ms, Nós analisados: 167, Profundidade: 3, Valor: 44.5, Cortes Alfa: 2, Cortes Beta: 4

 Jogador: -2, Tempo Gasto: 524 ms, Nós analisados: 215, Profundidade: 3, Valor: -48.0, Cortes Alfa: 12, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 700 ms, Nós analisados: 306, Profundidade: 3, Valor: 45.0, Cortes Alfa: 4, Cortes Beta: 6

 Jogador: -2, Tempo Gasto: 612 ms, Nós analisados: 284, Profundidade: 3, Valor: -7.0, Cortes Alfa: 16, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 405 ms, Nós analisados: 183, Profundidade: 3, Valor: 63.5, Cortes Alfa: 4, Cortes Beta: 13

 Jogador: -2, Tempo Gasto: 231 ms, Nós analisados: 127, Profundidade: 3, Valor: -30.5, Cortes Alfa: 5, Cortes Beta: 4

 Jogador: -1, Tempo Gasto: 101 ms, Nós analisados: 75, Profundidade: 3, Valor: 60.0, Cortes Alfa: 2, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 186 ms, Nós analisados: 119, Profundidade: 3, Valor: -15.0, Cortes Alfa: 8, Cortes Beta: 3

 Jogador: -1, Tempo Gasto: 176 ms, Nós analisados: 95, Profundidade: 3, Valor: 40.0, Cortes Alfa: 5, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 126 ms, Nós analisados: 73, Profundidade: 3, Valor: -15.0, Cortes Alfa: 4, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 206 ms, Nós analisados: 114, Profundidade: 3, Valor: 56.0, Cortes Alfa: 2, Cortes Beta: 4

 Jogador: -2, Tempo Gasto: 105 ms, Nós analisados: 77, Profundidade: 3, Valor: 4.5, Cortes Alfa: 2, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 71 ms, Nós analisados: 47, Profundidade: 3, Valor: 56.0, Cortes Alfa: 2, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 104 ms, Nós analisados: 66, Profundidade: 3, Valor: -39.0, Cortes Alfa: 4, Cortes Beta: 3

 Jogador: -1, Tempo Gasto: 36 ms, Nós analisados: 25, Profundidade: 3, Valor: 52.0, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 66 ms, Nós analisados: 40, Profundidade: 3, Valor: 32.5, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 65 ms, Nós analisados: 32, Profundidade: 3, Valor: 82.5, Cortes Alfa: 2, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 75 ms, Nós analisados: 26, Profundidade: 3, Valor: -7.5, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 109 ms, Nós analisados: 44, Profundidade: 3, Valor: 61.5, Cortes Alfa: 2, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 109 ms, Nós analisados: 56, Profundidade: 3, Valor: 18.5, Cortes Alfa: 6, Cortes Beta: 3

 Jogador: -1, Tempo Gasto: 77 ms, Nós analisados: 40, Profundidade: 3, Valor: 100.0, Cortes Alfa: 3, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 52 ms, Nós analisados: 21, Profundidade: 3, Valor: 37.5, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 54 ms, Nós analisados: 17, Profundidade: 3, Valor: 69.5, Cortes Alfa: 1, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 3370 ms, Nós analisados: 33, Profundidade: 3, Valor: 66.0, Cortes Alfa: 1, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 71 ms, Nós analisados: 28, Profundidade: 3, Valor: 126.0, Cortes Alfa: 1, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 71 ms, Nós analisados: 30, Profundidade: 3, Valor: 74.0, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 72 ms, Nós analisados: 34, Profundidade: 3, Valor: 116.0, Cortes Alfa: 1, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 27 ms, Nós analisados: 8, Profundidade: 3, Valor: 41.0, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 24 ms, Nós analisados: 8, Profundidade: 3, Valor: 88.5, Cortes Alfa: 0, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 33 ms, Nós analisados: 12, Profundidade: 3, Valor: 23.0, Cortes Alfa: 2, Cortes Beta: 0

 Jogador: -1, Tempo Gasto: 35 ms, Nós analisados: 15, Profundidade: 3, Valor: 34.0, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 30 ms, Nós analisados: 10, Profundidade: 3, Valor: 33.0, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 14 ms, Nós analisados: 4, Profundidade: 3, Valor: 114.5, Cortes Alfa: 0, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 25 ms, Nós analisados: 8, Profundidade: 3, Valor: 84.0, Cortes Alfa: 0, Cortes Beta: 0

 Jogador: -1, Tempo Gasto: 9 ms, Nós analisados: 2, Profundidade: 3, Valor: -1152921504606846976, Cortes Alfa: 1, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 16 ms, Nós analisados: 8, Profundidade: 3, Valor: 90.0, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 7 ms, Nós analisados: 2, Profundidade: 3, Valor: -1152921504606846976, Cortes Alfa: 1, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 6 ms, Nós analisados: 2, Profundidade: 3, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 1
